Caso,Survived,Age,Passenger,Sex,Hermanos o Esposas,Niños,Tarifa
58,No,30,First,Male,0,0,52
59,Yes,39,First,Female,1,1,83.2
60,No,37,First,Male,1,1,83.2
61,Yes,64,First,Female,0,2,83.2
62,Yes,55,First,Female,2,0,25.7
63,No,30,First,Male,0,0,26.6
64,No,70,First,Male,1,1,71
65,No,39,First,Male,1,0,71.3
66,Yes,38,First,Female,1,0,71.3
67,Yes,51,First,Male,0,0,26.6
68,Yes,33,First,Female,0,0,151.6
69,No,31,First,Male,1,0,52
70,Yes,27,First,Female,1,2,52
71,Yes,31,First,Male,1,0,57
72,Yes,17,First,Female,1,0,57
73,Yes,53,First,Male,1,1,81.9
74,Yes,4,First,Male,0,2,81.9
75,Yes,48,First,Female,1,0,106.4
76,Yes,48,First,Female,1,0,39.6
77,Yes,49,First,Male,1,0,56.9
78,No,39,First,Male,0,0,29.7
79,Yes,23,First,Female,0,1,83.2
80,Yes,54,First,Female,1,0,78.3
81,No,36,First,Female,0,0,31.7
82,No,30,First,Male,0,0,221.8
83,Yes,30,First,Female,0,0,110.9
84,Yes,36,First,Male,0,0,26.4
85,Yes,24,First,Female,3,2,263
86,Yes,23,First,Female,3,2,263
87,No,19,First,Male,3,2,263
88,No,64,First,Male,1,4,263
89,Yes,60,First,Female,1,4,263
90,Yes,30,First,Female,0,0,56.9
91,No,30,First,Male,0,0,26.6
92,Yes,50,First,Male,2,0,133.7
93,Yes,43,First,Male,1,0,27.7
94,Yes,22,First,Female,0,2,49.5
95,Yes,60,First,Male,1,1,79.2
96,Yes,48,First,Female,1,1,79.2
97,No,30,First,Male,0,0,0
98,No,37,First,Male,1,0,53.1
99,No,47,First,Male,0,0,38.5
100,Yes,35,First,Female,0,0,211.5
101,Yes,22,First,Female,0,1,59.4
102,Yes,45,First,Female,0,1,59.4
103,No,24,First,Male,0,0,79.2
104,Yes,49,First,Male,1,0,89.1
105,Yes,30,First,Female,1,0,89.1
106,No,71,First,Male,0,0,34.7
107,Yes,53,First,Male,0,0,28.5
108,No,38,First,Male,0,1,153.5
109,Yes,58,First,Female,0,1,153.5
110,Yes,45,First,Female,0,1,63.4
111,No,46,First,Male,0,0,79.2
112,Yes,25,First,Male,1,0,55.4
113,Yes,25,First,Female,1,0,55.4
114,Yes,48,First,Male,1,0,76.7
115,No,30,First,Male,0,0,42.4
116,Yes,27,First,Male,0,0,76.7
117,Yes,30,First,Male,0,0,30
118,Yes,24,First,Female,0,0,83.2
119,No,55,First,Male,1,1,93.5
120,Yes,52,First,Female,1,1,93.5
121,No,42,First,Male,0,0,42.5
122,No,30,First,Male,0,0,51.9
123,Yes,16,First,Female,0,1,58
124,Yes,51,First,Female,1,0,78
125,No,42,First,Male,1,0,52
126,Yes,35,First,Female,1,0,52
127,Yes,35,First,Male,0,0,26.6
128,Yes,38,First,Male,1,0,90
129,No,30,First,Male,0,0,30.7
130,Yes,35,First,Female,1,0,90
131,Yes,38,First,Female,0,0,80
132,Yes,49,First,Male,0,0,0
133,No,46,First,Male,0,0,26
134,No,50,First,Male,0,0,26
135,No,58,First,Male,0,0,29.7
136,Yes,30,First,Female,1,0,51.9
137,Yes,42,First,Male,1,0,52.6
138,No,30,First,Male,0,0,26.6
139,Yes,30,First,Female,0,0,106.4
140,No,30,First,Male,0,0,27.7
141,No,42,First,Male,0,0,26.6
142,Yes,16,First,Female,0,1,39.4
143,Yes,51,First,Female,0,1,39.4
144,No,29,First,Male,0,0,30
145,Yes,15,First,Female,0,1,211.3
146,No,30,First,Male,0,0,26
147,Yes,30,First,Male,0,0,29.7
148,No,19,First,Male,1,0,53.1
149,Yes,18,First,Female,1,0,53.1
150,Yes,24,First,Female,0,0,49.5
151,No,54,First,Male,0,0,51.9
152,Yes,30,First,Female,1,0,82.2
153,No,44,First,Male,2,0,90
154,Yes,33,First,Female,1,0,90
155,Yes,37,First,Female,1,0,90
156,Yes,30,First,Male,1,0,57.8
157,No,55,First,Male,0,0,30.5
158,No,47,First,Male,0,0,42.4
159,No,37,First,Male,0,1,29.7
160,No,58,First,Male,0,2,113.3
161,Yes,19,First,Female,0,2,26.3
162,No,64,First,Male,0,0,26
163,Yes,30,First,Male,0,0,25.7
164,Yes,22,First,Female,0,1,62
165,No,65,First,Male,0,1,62
166,No,30,First,Male,0,0,0
167,No,45.5,First,Male,0,0,28.5
168,No,23,First,Male,0,0,93.5
169,No,29,First,Male,1,0,66.6
170,Yes,22,First,Female,1,0,66.6
171,No,18,First,Male,1,0,108.9
172,Yes,17,First,Female,1,0,108.9
173,Yes,30,First,Female,0,0,93.5
174,Yes,52,First,Male,0,0,30.5
175,No,47,First,Male,0,0,52
176,Yes,56,First,Female,0,1,83.2
177,No,22,First,Male,0,0,135.6
178,No,30,First,Male,0,0,227.5
179,Yes,45,First,Male,0,0,26.6
180,No,30,First,Male,0,0,50
181,Yes,33,First,Female,0,0,27.7
182,No,46,First,Male,0,0,79.2
183,No,36,First,Male,0,0,40.1
184,Yes,33,First,Female,0,0,86.5
185,No,55,First,Male,1,0,59.4
186,Yes,54,First,Female,1,0,59.4
187,No,33,First,Male,0,0,26.6
188,Yes,13,First,Male,2,2,262.4
189,Yes,18,First,Female,2,2,262.4
190,No,61,First,Male,1,3,262.4
191,Yes,48,First,Female,1,3,262.4
192,Yes,24,First,Female,0,0,69.3
193,Yes,35,First,Female,1,0,57.8
194,Yes,30,First,Female,0,0,31
195,Yes,34,First,Male,0,0,26.6
196,Yes,40,First,Female,0,0,153.5
197,Yes,35,First,Male,0,0,26.3
198,No,50,First,Male,1,0,55.9
199,No,56,First,Male,0,0,26.6
200,No,24,First,Male,1,0,60
201,No,30,First,Male,0,0,26
202,Yes,23,First,Female,1,0,82.3
203,Yes,45,First,Male,1,1,134.5
204,Yes,40,First,Female,1,1,134.5
205,No,57,First,Male,1,0,146.5
206,Yes,30,First,Female,1,0,146.5
207,No,62,First,Male,0,0,26.6
208,Yes,54,First,Male,1,0,55.4
209,Yes,43,First,Female,1,0,55.4
210,No,30,First,Male,0,0,27.7
211,Yes,62,First,Female,0,0,80
212,No,67,First,Male,1,0,221.8
213,No,63,First,Female,1,0,221.8
214,Yes,18,First,Female,0,2,79.7
215,Yes,48,First,Male,1,0,52
216,Yes,30,First,Female,1,0,52
217,No,49,First,Male,1,1,110.9
218,Yes,17,First,Male,0,2,110.9
219,Yes,39,First,Female,1,1,110.9
220,Yes,30,First,Female,0,0,79.2
221,Yes,31,First,Male,0,0,28.5
222,No,40,First,Male,0,0,27.7
223,No,61,First,Male,0,0,33.5
224,No,47,First,Male,0,0,34
225,Yes,35,First,Female,0,0,512.3
226,No,64,First,Male,1,0,75.3
227,Yes,60,First,Female,1,0,75.3
228,No,54,First,Male,0,1,77.3
229,No,21,First,Male,0,1,77.3
230,Yes,55,First,Female,0,0,135.6
231,No,57,First,Male,1,1,164.9
232,Yes,45,First,Female,1,1,164.9
233,No,50,First,Male,1,1,211.5
234,Yes,21,First,Female,0,0,26.6
235,No,51,First,Male,0,1,61.4
236,Yes,21,First,Male,0,1,61.4
237,No,30,First,Male,0,0,35
238,Yes,31,First,Female,0,0,134.5
239,Yes,30,First,Male,0,0,35.5
240,No,62,First,Male,0,0,26.6
241,Yes,36,First,Female,0,0,135.6
242,No,30,Second,Male,1,0,24
243,No,30,Second,Male,0,0,13
244,No,18,Second,Male,0,0,11.5
245,No,25,Second,Male,0,0,10.5
246,Yes,36,Second,Female,1,0,26
247,No,18,Second,Male,0,0,11.5
248,No,23,Second,Male,0,0,10.5
249,Yes,36,Second,Female,0,0,13
250,No,28,Second,Male,0,0,10.5
251,No,51,Second,Male,0,0,12.5
252,Yes,32,Second,Male,1,0,26
253,Yes,1,Second,Male,2,1,39
254,Yes,4,Second,Female,2,1,39
255,Yes,12,Second,Female,2,1,39
256,Yes,36,Second,Female,0,3,39
257,Yes,19,Second,Female,0,0,13
258,No,23,Second,Male,0,0,13
259,No,26,Second,Male,0,0,13
260,No,42,Second,Male,0,0,13
261,No,27,Second,Male,0,0,13
262,Yes,15,Second,Female,0,2,39
263,No,60,Second,Male,1,1,39
264,Yes,40,Second,Female,1,1,39
265,Yes,20,Second,Female,1,0,26
266,No,25,Second,Male,1,0,26
267,Yes,36,Second,Female,0,0,13
268,No,25,Second,Male,0,0,13
269,No,42,Second,Male,0,0,13
270,Yes,42,Second,Female,0,0,13
271,Yes,26,Second,Male,1,1,29
272,Yes,22,Second,Female,1,1,29
273,No,30,Second,Male,0,0,0
274,No,19,Second,Male,0,0,13
275,No,52,Second,Male,0,0,13.5
276,No,29,Second,Female,1,0,26
277,Yes,25,Second,Female,1,1,30
278,Yes,28,Second,Female,1,0,26
279,No,29,Second,Male,0,0,10.5
280,No,28,Second,Male,0,0,13
281,Yes,8,Second,Female,0,2,26.3
282,No,31,Second,Male,1,1,26.3
283,No,30,Second,Female,0,0,13
284,No,30,Second,Female,0,0,21
285,No,21,Second,Male,0,0,11.5
286,Yes,48,Second,Female,0,2,36.8
287,Yes,28,Second,Female,0,0,13
288,No,32,Second,Male,0,0,13
289,Yes,18,Second,Female,0,1,23
290,No,54,Second,Male,0,0,26
291,No,42,Second,Male,1,1,32.5
292,Yes,27,Second,Female,1,0,13.9
293,No,21,Second,Male,0,0,13
294,No,18,Second,Male,0,0,13
295,No,40,Second,Male,1,0,26
296,No,18,Second,Male,0,0,10.5
297,No,36,Second,Male,0,0,13
298,No,30,Second,Male,0,0,0
299,No,38,Second,Female,0,0,13
300,No,38,Second,Male,1,0,21
301,No,34,Second,Male,1,0,21
302,No,16,Second,Male,0,0,26
303,No,26,Second,Male,0,0,10.5
304,No,47,Second,Male,0,0,10.5
305,No,21,Second,Male,1,0,11.5
306,No,24,Second,Male,0,0,13
307,No,34,Second,Male,0,0,13
308,No,30,Second,Male,0,0,13
309,No,52,Second,Male,0,0,13
310,No,30,Second,Male,0,0,13
311,Yes,0.7,Second,Male,1,1,14.5
312,No,44,Second,Male,0,0,13
313,Yes,62,Second,Male,0,0,10.5
314,No,30,Second,Male,0,0,10.5
315,Yes,7,Second,Female,0,2,26.3
316,No,43,Second,Male,1,1,26.3
317,Yes,45,Second,Female,1,1,26.3
318,Yes,24,Second,Female,1,2,65
319,Yes,55,Second,Female,0,0,16
320,No,24,Second,Male,2,0,73.5
321,No,32,Second,Male,2,0,73.5
322,No,21,Second,Male,2,0,73.5
323,No,18,Second,Female,1,1,13
324,Yes,20,Second,Female,2,1,23
325,No,23,Second,Male,2,1,11.5
326,No,36,Second,Male,0,0,13
327,No,50,Second,Male,0,0,13
328,No,44,Second,Male,1,0,26
329,No,21,Second,Male,0,0,73.5
330,Yes,42,Second,Male,0,0,13
331,No,63,Second,Male,1,0,26
332,No,60,Second,Female,1,0,26
333,No,33,Second,Male,0,0,12.3
334,Yes,17,Second,Female,0,0,10.5
335,Yes,24,Second,Female,2,1,27
336,No,47,Second,Male,0,0,15
337,No,24,Second,Male,2,0,31.5
338,No,22,Second,Male,2,0,31.5
339,No,32,Second,Male,0,0,10.5
340,Yes,23,Second,Female,0,0,13.8
341,No,34,Second,Male,1,0,26
342,No,22,Second,Female,0,0,21
343,Yes,30,Second,Female,0,0,12.4
344,No,35,Second,Male,0,0,12.4
345,Yes,45,Second,Female,0,0,13.5
346,No,57,Second,Male,0,0,12.4
347,No,30,Second,Male,0,0,0
348,No,26,Second,Female,1,1,26
349,No,30,Second,Male,1,1,26
350,No,30,Second,Male,0,0,10.7
351,Yes,1,Second,Female,1,2,41.6
352,Yes,3,Second,Female,1,2,41.6
353,No,25,Second,Male,1,2,41.6
354,Yes,17,Second,Female,0,0,12
355,Yes,30,Second,Female,0,0,33
356,Yes,34,Second,Female,0,0,10.5
357,No,36,Second,Male,0,0,12.9
358,No,24,Second,Male,0,0,10.5
359,No,61,Second,Male,0,0,12.4
360,No,57,Second,Female,0,0,10.5
361,No,30,Second,Male,0,0,15
362,Yes,1,Second,Male,0,2,37
363,Yes,24,Second,Female,1,1,37
364,No,40,Second,Male,0,0,16
365,No,30,Second,Male,0,0,13
366,No,46,Second,Male,0,0,26
367,Yes,13,Second,Female,0,1,19.5
368,Yes,41,Second,Female,0,1,19.5
369,No,70,Second,Male,0,0,10.5
370,No,27,Second,Male,0,0,13
371,No,54,Second,Male,0,0,14
372,No,39,Second,Male,0,0,26
373,No,16,Second,Male,0,0,10.5
374,No,62,Second,Male,0,0,9.7
375,No,26,Second,Male,0,0,13
376,No,19,Second,Male,1,1,36.8
377,Yes,29,Second,Female,0,0,10.5
378,No,39,Second,Male,0,0,13
379,Yes,30,Second,Male,0,0,13.9
380,Yes,29,Second,Male,0,0,13.9
381,No,28,Second,Male,0,0,10.5
382,No,30,Second,Male,0,0,0
383,Yes,50,Second,Female,0,1,26
384,No,30,Second,Male,0,0,15.1
385,No,41,Second,Male,0,0,13
386,Yes,21,Second,Female,0,1,21
387,Yes,19,Second,Female,0,0,26
388,No,43,Second,Male,0,1,21
389,Yes,30,Second,Male,0,0,12.7
390,No,27,Second,Male,0,0,15
391,Yes,2,Second,Female,1,1,26
392,Yes,8,Second,Female,1,1,26
393,Yes,33,Second,Female,0,2,26
394,No,36,Second,Male,0,0,10.5
395,No,34,Second,Male,1,0,21
396,Yes,30,Second,Female,3,0,21
397,Yes,28,Second,Female,0,0,13
398,No,23,Second,Male,0,0,15
399,Yes,3,Second,Male,1,1,18.8
400,Yes,24,Second,Female,2,3,18.8
401,No,19,Second,Male,0,0,10.5
402,Yes,21,Second,Female,0,0,10.5
403,No,26,Second,Male,0,0,13
404,No,25,Second,Male,0,0,13
405,Yes,25,Second,Female,0,1,26
406,Yes,18,Second,Female,0,2,13
407,Yes,20,Second,Female,0,0,36.8
408,Yes,30,Second,Female,0,0,13
409,Yes,40,Second,Female,0,0,13
410,No,25,Second,Male,0,0,10.5
411,No,18.5,Second,Male,0,0,13
412,No,23,Second,Male,0,0,13
413,No,27,Second,Female,1,0,21
414,No,40,Second,Male,0,0,13
415,Yes,31,Second,Female,0,0,21
416,Yes,40,Second,Female,0,0,15.8
417,Yes,2,Second,Male,1,1,23
418,Yes,4,Second,Female,1,1,23
419,Yes,29,Second,Female,0,2,23
420,Yes,5,Second,Female,1,2,27.8
421,No,36,Second,Male,1,2,27.8
422,Yes,33,Second,Female,1,2,27.8
423,No,66,Second,Male,0,0,10.5
424,No,30,Second,Male,0,0,12.9
425,Yes,31,Second,Male,0,0,13
426,No,42,Third,Male,0,0,7.6
427,No,13,Third,Male,0,2,20.3
428,No,16,Third,Male,1,1,20.3
429,Yes,35,Third,Female,1,1,20.3
430,Yes,16,Third,Female,0,0,7.7
431,Yes,18,Third,Female,0,0,7.2
432,No,26,Third,Male,0,0,8.1
433,No,40,Third,Female,1,0,9.5
434,Yes,0.8,Third,Male,0,1,9.4
435,Yes,18,Third,Female,0,1,9.4
436,No,26,Third,Male,0,0,7.9
437,No,20,Third,Male,0,0,7.9
438,No,24,Third,Male,0,0,7.1
439,No,35,Third,Male,0,0,8.1
440,No,18,Third,Male,0,0,8.3
441,Yes,19,Third,Female,1,0,7.9
442,No,4,Third,Male,4,2,31.3
443,No,6,Third,Female,4,2,31.3
444,No,2,Third,Female,4,2,31.3
445,Yes,17,Third,Female,4,2,7.9
446,No,38,Third,Female,4,2,7.8
447,No,9,Third,Female,4,2,31.3
448,No,11,Third,Female,4,2,31.3
449,Yes,27,Third,Male,0,0,7.8
450,No,39,Third,Female,1,5,31.3
451,No,20,Third,Male,0,0,7.9
452,No,25,Third,Male,1,0,17.8
453,No,35,Third,Male,0,0,7.1
454,No,5,Third,Male,4,2,31.4
455,No,9,Third,Male,4,2,31.4
456,Yes,3,Third,Male,4,2,31.4
457,Yes,5,Third,Female,4,2,31.4
458,No,40,Third,Male,1,5,31.4
459,Yes,45,Third,Female,0,0,7.2
460,No,21,Third,Male,0,0,7.2
461,No,23,Third,Male,0,0,7.1
462,Yes,13,Third,Female,0,0,7.2
463,No,20,Third,Male,0,0,7.2
464,No,32,Third,Male,1,0,15.9
465,Yes,33,Third,Female,3,0,15.9
466,Yes,0.8,Third,Female,2,1,19.3
467,Yes,5,Third,Female,2,1,19.3
468,Yes,18,Third,Female,0,0,8.1
469,No,26,Third,Male,0,0,7.9
470,Yes,20,Third,Male,0,0,7.2
471,No,18,Third,Female,0,1,14.5
472,No,45,Third,Female,0,1,14.5
473,No,22,Third,Male,0,0,8.1
474,No,19,Third,Male,0,0,8.1
475,No,26,Third,Male,0,0,7.8
476,Yes,32,Third,Male,0,0,56.5
477,No,18,Third,Male,0,0,7.8
478,No,26,Third,Male,0,0,7.9
479,No,6,Third,Male,1,1,15.2
480,No,9,Third,Female,1,1,15.2
481,No,40,Third,Male,1,1,15.5
482,No,21,Third,Male,0,0,16.1
483,Yes,22,Third,Female,0,0,7.7
484,No,20,Third,Female,0,0,7.9
485,No,22,Third,Male,1,0,7.3
486,No,22,Third,Male,0,0,7.8
487,No,18.5,Third,Female,0,0,7.3
488,No,19,Third,Male,0,0,6.8
489,No,18,Third,Female,0,0,7.9
490,No,21,Third,Female,0,0,8.7
491,No,30,Third,Female,0,0,8.7
492,No,38,Third,Male,0,0,8.7
493,No,17,Third,Male,0,0,8.7
494,No,21,Third,Female,0,0,7.8
495,No,21,Third,Male,0,0,7.8
496,No,21,Third,Male,0,0,8.1
497,No,30,Third,Male,1,0,14.5
498,No,30,Third,Female,1,0,14.5
499,No,24,Third,Male,0,0,7.9
500,No,28,Third,Male,0,0,7.3
501,No,24,Third,Male,0,0,8.1
502,No,21,Third,Male,0,0,7.7
503,No,29,Third,Male,0,0,8.1
504,No,18,Third,Male,1,0,14.5
505,Yes,18,Third,Male,0,0,8.1
506,No,24,Third,Male,0,0,7.3
507,No,36,Third,Male,0,0,7.5
508,No,31,Third,Male,0,0,7.8
509,Yes,22,Third,Female,0,0,7.8
510,No,70.5,Third,Male,0,0,7.8
511,No,35,Third,Male,0,0,7.9
512,No,27,Third,Male,0,0,7.9
513,No,19,Third,Male,0,0,7.9
514,No,30,Third,Male,0,0,8.1
515,Yes,9,Third,Male,1,1,15.9
516,Yes,3,Third,Male,1,1,15.9
517,No,59,Third,Male,0,0,7.3
518,Yes,17,Third,Female,0,1,16.1
519,No,44,Third,Male,0,1,16.1
520,No,17,Third,Male,0,0,8.7
521,Yes,30,Third,Female,0,0,7
522,Yes,29,Third,Male,0,0,7.8
523,No,34,Third,Male,1,1,14.4
524,No,27,Third,Male,0,0,7.9
525,No,25,Third,Male,0,0,7.9
526,No,24,Third,Male,2,0,24.2
527,No,22,Third,Male,0,0,8.1
528,No,17,Third,Male,2,0,8.1
529,No,30,Third,Male,1,0,16.1
530,Yes,30,Third,Female,1,0,16.1
531,Yes,36.5,Third,Male,1,0,17.4
532,Yes,36,Third,Female,1,0,17.4
533,Yes,30,Third,Male,0,0,9.5
534,No,16,Third,Male,0,0,9.5
535,Yes,1,Third,Male,1,2,20.6
536,Yes,0.2,Third,Female,1,2,20.6
537,Yes,33,Third,Female,1,2,20.6
538,No,25,Third,Male,0,0,7.9
539,No,30,Third,Male,0,0,7.9
540,No,36,Third,Male,0,0,7.3
541,Yes,19,Third,Female,0,0,7.9
542,No,43,Third,Male,0,0,7.9
543,No,30,Third,Male,0,0,7.2
544,No,32,Third,Male,0,0,7.8
545,Yes,19,Third,Male,0,0,8.1
546,Yes,30,Third,Female,0,0,12.5
547,Yes,23,Third,Female,0,0,8.1
548,No,33,Third,Male,0,0,7.9
549,No,65,Third,Male,0,0,7.8
550,Yes,24,Third,Male,0,0,7.6
551,No,23,Third,Male,1,0,13.9
552,Yes,22,Third,Female,1,0,13.9
553,No,18,Third,Male,0,0,7.8
554,No,16,Third,Male,0,0,7.8
555,No,45,Third,Male,0,0,7
556,No,30,Third,Male,0,0,7.2
557,No,17,Third,Male,1,1,7.2
558,No,15,Third,Male,1,1,7.2
559,Yes,5,Third,Female,0,0,12.5
560,No,30,Third,Male,0,0,7.2
561,No,40.5,Third,Male,0,0,15.1
562,No,40.5,Third,Male,0,0,7.8
563,No,18,Third,Male,0,0,7.8
564,No,30,Third,Female,0,0,7.8
565,No,30,Third,Male,0,0,7.8
566,Yes,30,Third,Male,0,0,56.5
567,No,9,Third,Female,2,2,34.4
568,No,30,Third,Male,0,0,8.1
569,No,18,Third,Male,2,2,34.4
570,No,48,Third,Female,1,3,34.4
571,No,30,Third,Male,0,0,7.8
572,No,30,Third,Male,0,0,7.3
573,No,25,Third,Male,0,0,7.7
574,No,30,Third,Male,0,0,14.5
575,No,30,Third,Male,0,0,7.9
576,Yes,16,Third,Female,0,0,7.7
577,Yes,30,Third,Female,0,0,7.8
578,Yes,9,Third,Male,0,2,20.5
579,No,33,Third,Male,1,1,20.5
580,No,41,Third,Male,0,0,7.9
581,No,38,Third,Male,0,0,7.1
582,No,9,Third,Male,5,2,46.9
583,No,11,Third,Male,5,2,46.9
584,No,10,Third,Female,5,2,46.9
585,No,16,Third,Female,5,2,46.9
586,No,14,Third,Male,5,2,46.9
587,No,40,Third,Male,1,6,46.9
588,No,43,Third,Female,1,6,46.9
589,No,51,Third,Male,0,0,8.1
590,No,32,Third,Male,0,0,8.4
591,No,30,Third,Male,0,0,8.1
592,No,37,Third,Male,2,0,7.9
593,No,28,Third,Male,2,0,7.9
594,No,24,Third,Female,0,0,8.9
595,No,17,Third,Female,0,0,7.7
596,No,30,Third,Male,1,0,20
597,No,28,Third,Male,1,0,15.9
598,No,23.5,Third,Male,0,0,7.2
599,No,41,Third,Male,2,0,14.1
600,No,26,Third,Male,1,0,7.9
601,No,21,Third,Male,0,0,7.9
602,Yes,45,Third,Female,1,0,14.1
603,No,30,Third,Female,0,0,7.6
604,No,25,Third,Male,0,0,7.3
605,No,30,Third,Male,0,0,6.9
606,Yes,30,Third,Female,0,0,7.8
607,Yes,30,Third,Male,0,0,56.5
608,Yes,26,Third,Female,0,0,7.9
609,Yes,22,Third,Female,0,0,9
610,No,28,Third,Male,0,0,7.9
611,No,28,Third,Female,0,0,7.8
612,No,30,Third,Female,0,0,7.8
613,Yes,2,Third,Female,0,1,12.3
614,No,28,Third,Male,0,0,22.5
615,Yes,27,Third,Female,0,0,7.9
616,No,42,Third,Male,0,0,7.7
617,Yes,30,Third,Male,0,0,7.9
618,No,30,Third,Male,0,0,7.2
619,No,27,Third,Female,1,0,7.9
620,No,30,Third,Male,0,0,7.9
621,Yes,29,Third,Male,0,0,7.9
622,Yes,21,Third,Male,0,0,7.8
623,No,30,Third,Male,0,0,7.1
624,No,20,Third,Male,0,0,7.9
625,No,48,Third,Male,0,0,7.9
626,No,17,Third,Male,1,0,7.1
627,Yes,30,Third,Female,0,0,7.8
628,No,34,Third,Male,0,0,6.5
629,Yes,26,Third,Male,0,0,7.8
630,No,22,Third,Male,0,0,7.8
631,No,33,Third,Male,0,0,8.7
632,Yes,4,Third,Male,1,1,11.1
633,Yes,1,Third,Female,1,1,11.1
634,No,49,Third,Male,0,0,0
635,No,19,Third,Male,0,0,0
636,Yes,27,Third,Female,0,2,11.1
637,No,30,Third,Male,1,2,23.5
638,No,30,Third,Female,1,2,23.5
639,No,30,Third,Male,1,2,23.5
640,Yes,32,Third,Male,0,0,7.9
641,No,27,Third,Male,0,0,7.9
642,No,20,Third,Female,1,0,9.8
643,No,21,Third,Female,1,0,9.8
644,Yes,32,Third,Male,0,0,7.9
645,No,17,Third,Male,0,0,7.1
646,No,21,Third,Male,0,0,8.4
647,Yes,21,Third,Male,0,0,7.8
648,No,33,Third,Male,0,0,7.9
649,No,22,Third,Male,0,0,7.5
650,Yes,4,Third,Female,0,1,13.4
651,Yes,39,Third,Male,0,1,13.4
652,No,30,Third,Male,0,0,7.2
653,No,18.5,Third,Male,0,0,7.2
654,No,30,Third,Male,0,0,7.8
655,Yes,30,Third,Female,0,0,7.8
656,Yes,30,Third,Female,0,0,7.8
657,No,34.5,Third,Male,0,0,7.8
658,Yes,30,Third,Male,0,0,7.8
659,No,30,Third,Male,1,0,14.5
660,No,30,Third,Female,1,0,14.5
661,No,30,Third,Male,1,0,7.8
662,No,30,Third,Male,1,0,7.8
663,Yes,29,Third,Male,3,1,22
664,Yes,26,Third,Female,1,1,22
665,No,1,Third,Female,1,1,12.2
666,No,18,Third,Male,1,1,7.9
667,No,36,Third,Female,0,2,12.2
668,Yes,25,Third,Male,0,0,7.2
669,No,37,Third,Female,0,0,9.6
670,No,30,Third,Male,0,0,7.9
671,Yes,30,Third,Male,0,0,56.5
672,Yes,22,Third,Female,0,0,7.3
673,No,30,Third,Male,0,0,7.8
674,No,29,Third,Male,0,0,9.5
675,No,29,Third,Male,0,0,7.8
676,No,30,Third,Male,3,1,25.5
677,No,30,Third,Female,3,1,25.5
678,No,30,Third,Female,3,1,25.5
679,No,30,Third,Female,0,4,25.5
680,No,32,Third,Male,0,0,7.9
681,No,34.5,Third,Male,0,0,6.4
682,No,30,Third,Male,1,0,15.5
683,No,39,Third,Male,0,0,24.2
684,No,25,Third,Female,0,0,7.8
685,No,36,Third,Male,1,0,15.6
686,No,30,Third,Female,1,0,15.6
687,Yes,20,Third,Male,1,0,7.9
688,No,30,Third,Male,0,0,7.9
689,No,28,Third,Male,0,0,56.5
690,No,30,Third,Male,1,0,16.1
691,No,26,Third,Female,1,0,16.1
692,No,30,Third,Male,0,0,7.9
693,No,20.5,Third,Male,0,0,7.3
694,No,51,Third,Male,0,0,7.1
